numero_dpe,date_etablissement_dpe,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,type_installation_chauffage,hauteur_sous_plafond,surface_habitable_logement,code_postal_ban,code_departement_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,nom_commune_ban,besoin_chauffage
2601E0052620C,2026-01-08,D,C,appartement,,individuel,2.5,132.1,1110,1,901244.05,6545266.88,Plateau d'Hauteville,13414.6
2401E1765908S,2024-05-21,C,C,appartement,,individuel,2.5,67.7,1210,1,938967.24,6577488.88,Ferney-Voltaire,3622.5
2601E0027914W,2026-01-06,F,F,maison,1929,,2.9,145.3,1000,1,870926.63,6569501.53,Bourg-en-Bresse,26796.5
2401E2562765B,2024-07-16,C,C,appartement,2014,collectif,2.5,109.1,1630,1,932686.72,6576397.59,Saint-Genis-Pouilly,3761.2
2201E2636512K,2022-11-08,C,C,appartement,,individuel,2.5,88,1170,1,935003.96,6584906.57,Gex,5026.7
2601E0050944Q,2026-01-08,D,D,appartement,1982,individuel,2.5,94,1800,1,870188.97,6536445.33,Meximieux,6811.7
2201E1437999T,2022-06-22,D,B,maison,2010,,2.5,89.7,1440,1,870272.6,6576815.38,Viriat,6319.3
2301E4315226J,2023-12-14,C,A,appartement,,individuel,2.5,44,1000,1,872292.78,6569088.23,Bourg-en-Bresse,1497.4
2401E2825495B,2024-08-06,D,B,maison,,,2.5,136.9,1150,1,874638.31,6529795.53,Blyes,19423.3
2401E3145197H,2024-09-10,C,B,maison,,,2.5,120,1170,1,933891.53,6583369.29,Échenevex,12072.9
2501E2948347E,2025-09-17,C,C,appartement,2012,collectif,2.4,66,1000,1,873612.07,6569370.24,Bourg-en-Bresse,1518.2
2501E2037229E,2025-06-21,D,B,appartement,1935,individuel,2.5,72.3,1200,1,918313.82,6560770.9,Valserhône,6565.9
2601E0035272W,2026-01-07,B,A,maison,2025,,2.5,102.9,1320,1,875820.1,6545997.28,Villette-sur-Ain,7483.8
2301E2784364B,2023-08-22,G,G,appartement,1979,individuel,2.6,91,1120,1,859096.12,6530070.48,Montluel,18884.6
2201E2619875N,2022-11-06,D,B,appartement,1991,individuel,2.5,108,1220,1,941221.09,6588737.72,Divonne-les-Bains,7936.9
2301E0081016D,2023-01-06,D,B,appartement,2008,individuel,2.5,88.5,1210,1,939600.01,6577634.16,Ferney-Voltaire,6315.1
2401E1525867J,2024-04-26,D,B,maison,1900,,2.5,117.4,1290,1,843172.97,6572760.04,Grièges,13728.4
2501E1534866N,2025-05-07,B,A,appartement,2021,individuel,2.5,60.4,1700,1,851140.16,6527650.44,Miribel,3247.3
2501E4001502D,2025-12-22,D,B,immeuble,,individuel,2.7,,1400,1,856845.23,6565241.61,Neuville-les-Dames,19116.2
2401E2211080S,2024-06-20,C,B,appartement,2010,individuel,2.5,87.2,1210,1,938994.24,6577409.92,Ferney-Voltaire,5392
2401E2191996S,2024-06-19,D,D,maison,,,2.5,131.6,1160,1,881327.32,6552887.98,Pont-d'Ain,20933.1
2601E0070468O,2026-01-12,C,B,appartement,1991,individuel,2.5,66.6,1170,1,935114.36,6585033.98,Gex,3469.4
2601E0041585R,2026-01-08,D,D,appartement,1982,individuel,2.5,44,1800,1,870188.97,6536445.33,Meximieux,4013.8
2601E0074626M,2026-01-12,C,A,appartement,2009,individuel,2.3,81.8,1630,1,932614.13,6575838.37,Saint-Genis-Pouilly,2748.5
2501E0486206L,2025-02-12,C,C,appartement,2018,individuel,2.5,42.9,1210,1,939873.62,6578077.17,Ferney-Voltaire,668.8
2401E1867335T,2024-05-28,D,B,appartement,,individuel,2.5,20.5,1630,1,928285.47,6571707.85,Saint-Jean-de-Gonville,980
2101E0513610H,2021-10-16,D,B,maison,1978,,2.5,93.4,1700,1,852305.03,6527247.71,Miribel,9735.4
2201E2667654E,2022-11-10,D,D,maison,,,2.5,140,1240,1,860904.42,6553526.9,Marlieux,12759.4
2101E0666189S,2021-11-10,D,B,appartement,1948,individuel,2.5,18.8,1000,1,870833.6,6569466.15,Bourg-en-Bresse,1443
2401E0737137P,2024-02-28,E,B,appartement,,individuel,2.5,39.4,1100,1,904497.81,6576182.88,Oyonnax,3804.7
2601E0051309R,2026-01-08,E,E,appartement,1982,individuel,2.5,79,1800,1,870188.97,6536445.33,Meximieux,7424.5
2501E4019509S,2025-12-24,C,B,appartement,1970,individuel,2.6,78.3,1750,1,841776.98,6579949.59,Saint-Laurent-sur-Saône,15154.9
2401E0609349R,2024-02-20,C,B,appartement,,individuel,2.5,77.7,1000,1,870913.27,6568779.59,Bourg-en-Bresse,5276.3
2301E1112617C,2023-04-03,D,B,appartement,,individuel,2.5,67,1120,1,856732.39,6525956.32,Thil,5743.6
2201E1005884Y,2022-05-10,D,B,appartement,1996,individuel,2.5,30.8,1100,1,903289.38,6576443.47,Oyonnax,1723.7
2601E0073920I,2026-01-12,D,B,maison,,,2.8,42,1150,1,888617.35,6531474.37,Villebois,3377.1
2101E0400006X,2021-09-27,C,B,appartement,1989,individuel,2.5,46,1210,1,939778.89,6577975.4,Ferney-Voltaire,1992.1
2501E3920344R,2025-12-15,D,B,appartement,,individuel,2.5,38,1200,1,915309.99,6563666.73,Valserhône,2503.2
2301E2664272D,2023-08-07,D,D,appartement,1960,individuel,2.5,61.7,1600,1,838371.66,6539127.5,Trévoux,6694.1
2201E2173110G,2022-09-22,E,E,appartement,,collectif,2.5,31,1210,1,939130.87,6577191.91,Ferney-Voltaire,2884.7
2401E3156900K,2024-09-11,C,C,appartement,2016,individuel,2.5,172.9,1280,1,938081.07,6577974.56,Prévessin-Moëns,12229.6
2601E0008769N,2026-01-05,F,F,maison,,,2.6,142.5,1250,1,878798.41,6562614.36,Tossiat,30679.5
2601E0037722C,2026-01-07,C,A,maison,2003,,2.5,140,1350,1,911668.64,6528962.26,Ceyzérieu,8011.7
2501E3482812N,2025-11-04,C,A,appartement,,individuel,2.5,117.1,1440,1,869838.84,6574774.31,Viriat,10042.7
2501E1301942X,2025-04-16,B,A,maison,2008,,2.5,210.1,1800,1,870119.46,6527419.4,Saint-Maurice-de-Gourdans,18631.9
2301E3085124T,2023-09-16,C,A,maison,1922,,2.5,85.4,1800,1,870162.4,6526846.35,Saint-Maurice-de-Gourdans,3271.1
2301E1121528V,2023-04-04,D,D,appartement,,collectif,2.5,43,1280,1,936682.33,6576818.46,Prévessin-Moëns,1559
2501E0708706D,2025-03-03,C,A,appartement,2001,individuel,2.5,67.3,1210,1,938923.56,6577030.94,Ferney-Voltaire,2754.3
2301E4492112R,2023-12-27,D,B,appartement,,individuel,2.8,75.7,1160,1,880661.43,6552588.37,Pont-d'Ain,6677
2501E3838402B,2025-12-07,C,A,appartement,2010,individuel,2.5,25.6,1120,1,859346.77,6529599.09,Montluel,597.5
2401E3066455T,2024-09-04,E,B,appartement,2005,individuel,2.5,45.5,1100,1,902978.85,6576223.98,Bellignat,4468.9
2301E1341733G,2023-04-14,G,C,appartement,1959,individuel,2.5,58.1,1220,1,941180.58,6588707.55,Divonne-les-Bains,11002.6
2601E0041278W,2026-01-07,A,A,maison,2023,,2.5,112.3,1360,1,863764.8,6529298.68,Balan,6144.2
2301E3287341I,2023-10-02,C,C,appartement,,individuel,2.5,123.1,1000,1,870441.5,6568874.13,Bourg-en-Bresse,10660.5
2401E3260392W,2024-09-19,D,D,appartement,,individuel,2.5,30.4,1000,1,871743.68,6569479.21,Bourg-en-Bresse,4149.4
2501E3259962J,2025-10-15,C,C,maison,,,1.9,49.3,1500,1,882952.22,6543412.19,Ambérieu-en-Bugey,3281.3
2301E1362003W,2023-04-24,D,B,appartement,2010,individuel,2.6,71.4,1410,1,917070.39,6569985.58,Champfromier,6226.9
2601E0034466W,2026-01-07,C,C,appartement,1993,individuel,2.5,67.5,1480,1,835863.19,6544205.17,Jassans-Riottier,2549.8
2301E3069856N,2023-09-15,D,B,appartement,,individuel,2.5,24,1000,1,870701.08,6569542.86,Bourg-en-Bresse,1791.6
2601E0050767V,2026-01-08,E,B,appartement,1900,individuel,2.5,74,1430,1,896062.89,6561927.72,Maillat,7881
2301E1016057G,2023-03-27,E,C,appartement,,mixte (collectif-individuel),2.8,32.5,1110,1,901838.66,6545286.38,Plateau d'Hauteville,2386.4
2601E0050476Q,2026-01-08,D,D,appartement,1900,mixte (collectif-individuel),2.6,73.1,1510,1,909043.82,6534216.44,Artemare,4021.9
2201E0646948S,2022-03-23,E,E,appartement,1978,collectif,2.5,68.4,1210,1,939215.28,6577286.25,Ferney-Voltaire,5831.5
2501E0299637S,2025-01-28,D,B,appartement,2006,individuel,2.4,42,1630,1,933784.27,6575960.49,Saint-Genis-Pouilly,2133.1
2501E2367175K,2025-07-18,D,B,appartement,,individuel,2.6,62.6,1090,1,839780.61,6554327.22,Francheleins,4685
2401E3052286U,2024-09-03,E,E,appartement,1969,collectif,2.5,89,1210,1,939589.14,6577788.43,Ferney-Voltaire,16148.8
2501E2961173M,2025-09-18,B,A,maison,,,2.5,205,1200,1,917636.85,6563661.85,Valserhône,16626.1
2501E0407734H,2025-02-06,C,B,appartement,2009,individuel,2.5,44.2,1170,1,935160.59,6586682.48,Gex,1680
2501E3540249Q,2025-11-10,C,C,appartement,1989,individuel,2.5,72.2,1800,1,870249.5,6536089.85,Meximieux,3184.6
2601E0050989J,2026-01-08,D,D,appartement,1982,individuel,2.5,40,1800,1,870188.97,6536445.33,Meximieux,3454.3
2501E3241006H,2025-10-14,D,B,immeuble,,individuel,2.5,,1150,1,886853.79,6531264.32,Sault-Brénaz,16158.8
2201E0953344E,2022-05-04,C,A,appartement,2009,individuel,2.9,89,1120,1,859618.79,6530105.96,Montluel,3089.6
2601E0017040Q,2026-01-05,D,B,maison,1998,,2.5,147.2,1170,1,934061.39,6579985.66,Chevry,15556.7
2601E0058309X,2026-01-09,E,C,maison,1988,,2.5,95,1280,1,937734.83,6577615.04,Prévessin-Moëns,15152.1
2301E2826484B,2023-07-13,G,C,appartement,1979,individuel,2.5,63.6,1630,1,933230.39,6575834.2,Saint-Genis-Pouilly,15821.3
2201E2692024M,2022-11-14,D,B,appartement,1947,individuel,2.6,60.6,1600,1,837304.93,6539442.81,Trévoux,5253.5
2201E0893613V,2022-04-27,D,B,appartement,1996,individuel,2.5,30.8,1100,1,903289.38,6576443.47,Oyonnax,2298
2301E2192831U,2023-06-29,C,C,appartement,,collectif,2.5,101,1700,1,851169.89,6526658.96,Miribel,5244.6
2401E2531764S,2024-07-12,C,A,appartement,2013,collectif,2.5,68.7,1170,1,933400.86,6583327.51,Échenevex,2214.7
2401E1045556W,2024-03-22,D,B,appartement,2010,individuel,2.5,44.4,1210,1,938998.76,6577379.43,Ferney-Voltaire,2179.8
2601E0050824A,2026-01-08,D,D,appartement,1982,individuel,2.5,90,1800,1,870188.97,6536445.33,Meximieux,7752.8
2401E0674100C,2024-02-23,A,A,appartement,2012,collectif,2.5,133.5,1630,1,932644.04,6576382.73,Saint-Genis-Pouilly,3493.5
2401E4420229Z,2024-12-13,E,B,appartement,,individuel,2.5,29.6,1700,1,854181.49,6527088.35,Saint-Maurice-de-Beynost,2658.8
2201E1702931L,2022-07-25,E,E,appartement,1973,collectif,2.5,31.3,1170,1,934487.9,6585162.56,Gex,3549.1
2301E3908132X,2023-11-16,C,C,appartement,2012,individuel,2.5,125.7,1600,1,841340.67,6538221.22,Reyrieux,8843.9
2401E4035108Q,2024-11-15,G,C,maison,1971,,2.5,96.7,1380,1,850941.98,6577091.05,Saint-Cyr-sur-Menthon,25886.8
2501E1974164P,2025-06-17,E,B,appartement,,individuel,2.7,55.9,1600,1,837285.92,6539509.25,Trévoux,6420.6
2501E1754969A,2025-05-27,C,B,appartement,,individuel,2.4,94,1350,1,916050.18,6531384.49,Culoz-Béon,5807.8
2401E1374916O,2024-04-16,D,B,appartement,,individuel,2.4,58,1420,1,919253.4,6543856.5,Seyssel,5479.3
2401E3502499R,2024-10-07,C,C,maison,1971,,2.6,237,1140,1,842373.94,6568191.48,Garnerans,27436.2
2201E0001709V,2022-01-03,D,D,appartement,1974,collectif,2.5,111,1170,1,934765.42,6587147.84,Gex,9869.8
2101E0645635E,2021-11-08,D,B,appartement,1989,individuel,2.4,31.1,1220,1,941215.12,6589135.59,Divonne-les-Bains,1776.8
2601E0006672W,2026-01-04,C,C,appartement,1993,individuel,2.5,67.5,1480,1,835860.33,6544222.43,Jassans-Riottier,3833.2
2201E0390083H,2022-02-25,E,C,appartement,1949,individuel,2.4,55.7,1200,1,915906.23,6564284.33,Valserhône,6235
2501E0164953O,2025-01-17,C,C,appartement,,collectif,2.5,71.3,1480,1,835939.32,6544521.54,Jassans-Riottier,1067.8
2501E3836342V,2025-12-06,D,D,maison,,,2.6,131.3,1200,1,915857.34,6566173.43,Montanges,18098.4
2201E0521633X,2022-03-15,C,B,appartement,2007,individuel,2.5,65.3,1280,1,937102.53,6577207.92,Prévessin-Moëns,6752.2
2501E2069714P,2025-06-24,D,B,maison,,,2.5,55.3,1200,1,918618.84,6561234.99,Valserhône,6068.9
2601E0034620U,2026-01-07,C,C,appartement,1993,individuel,2.5,67.5,1480,1,835863.19,6544205.17,Jassans-Riottier,2549.8
2201E1936398Y,2022-08-29,D,D,appartement,1900,collectif,2.5,84.4,1800,1,869920.69,6536169.25,Meximieux,9043.3
2601E0077962U,2026-01-12,D,B,appartement,,individuel,2.5,17.6,1000,1,871296.65,6569975.76,Bourg-en-Bresse,3530.7
2601E0005454A,2026-01-03,C,B,maison,1990,,2.5,82.4,1750,1,844100.82,6580056.36,Replonges,6068.1
2501E2349122B,2025-07-16,D,B,maison,,,2.6,67.9,1250,1,879182.57,6566844.19,Ceyzériat,7135.4
2201E2608684C,2022-10-20,D,D,immeuble,1945,mixte (collectif-individuel),2.5,,1300,1,908617.37,6521229.67,Belley,21981
2601E0053488M,2026-01-08,C,A,appartement,,individuel,2.5,32.4,1200,1,918077.58,6560284.28,Valserhône,1670.7
2301E0826283G,2023-03-13,D,B,appartement,1955,individuel,2.6,59.5,1200,1,918090.02,6560321.07,Valserhône,5070.4
2501E2176750J,2025-07-01,C,A,appartement,1850,individuel,2.5,30.6,1200,1,915913.24,6564256.58,Valserhône,1307.6
2601E0048761R,2026-01-08,D,D,appartement,1982,individuel,2.5,72,1800,1,870188.97,6536445.33,Meximieux,8253
2501E3710020H,2025-11-25,C,C,appartement,2020,individuel,2.5,44.5,1280,1,937292.4,6576805.35,Prévessin-Moëns,1340.2
2601E0021778W,2026-01-06,D,B,maison,2009,,2.5,97.2,1500,1,882152.62,6541138.32,Bettant,9121.1
2201E1797013Z,2022-08-05,E,C,maison,1949,,2.6,40,1750,1,841638.91,6579812.4,Saint-Laurent-sur-Saône,5419.7
2501E2397117A,2025-07-21,D,D,appartement,1975,collectif,2.6,86.4,1210,1,939865.39,6577783.77,Ferney-Voltaire,6331.6
2301E1625327S,2023-05-16,D,B,appartement,,individuel,2.8,37.8,1000,1,870752.38,6568489.67,Bourg-en-Bresse,3960.1
2601E0018187T,2026-01-05,G,G,maison,,,2.5,42,1220,1,941774.19,6588889.55,Divonne-les-Bains,16688.6
2601E0080215L,2026-01-12,G,G,maison,,,2.3,103,1470,1,890509.48,6526083.95,Serrières-de-Briord,24912.7
2501E3081176Z,2025-09-29,D,B,appartement,1900,individuel,2.8,73.7,1100,1,904456.16,6576364.6,Oyonnax,6417.6
2501E1280420D,2025-04-14,E,B,maison,1999,,2.5,60,1120,1,858138.85,6528848.17,La Boisse,7490.6
2601E0006369F,2026-01-04,C,C,appartement,1993,individuel,2.5,66.6,1480,1,835856.2,6544237.45,Jassans-Riottier,3755
2601E0034635J,2026-01-07,C,C,appartement,1993,individuel,2.5,66.7,1480,1,835863.19,6544205.17,Jassans-Riottier,3382.6
2601E0035368O,2026-01-07,B,A,maison,2025,,2.5,102.9,1320,1,875820.1,6545997.28,Villette-sur-Ain,7483.8
2601E0048510A,2026-01-08,C,C,appartement,1982,individuel,2.5,79,1800,1,870188.97,6536445.33,Meximieux,3783.7
2301E1213375K,2023-04-12,E,B,appartement,,individuel,2.5,59.6,1330,1,856941.54,6546808.46,Villars-les-Dombes,7064.4
2501E3928056H,2025-12-15,C,C,appartement,1968,individuel,2.4,93.2,1170,1,935526.82,6586244.58,Gex,8325.3
2501E2384343S,2025-07-20,D,B,appartement,,individuel,2.5,69.8,1200,1,920083.62,6559378.84,Valserhône,6062.1
2301E0391858P,2023-02-07,F,F,appartement,1970,collectif,2.5,44.9,1210,1,939577.89,6577766.87,Ferney-Voltaire,12231.9
2401E2625951H,2024-07-19,D,B,maison,,,2.5,116,1160,1,877317.45,6547413.71,Priay,12399.8
2601E0076397P,2026-01-12,C,B,appartement,,individuel,2.5,66.6,1410,1,916796.38,6569902.92,Champfromier,3748.4
2201E2597812Y,2022-11-02,E,E,appartement,1949,individuel,2.9,78.4,1420,1,919253.72,6543826.18,Seyssel,10666.8
2301E1256458L,2023-04-15,C,B,appartement,,individuel,2.5,51.5,1200,1,918144.8,6560356.25,Valserhône,2264.7
2501E2213822F,2025-07-04,D,B,appartement,,individuel,2.5,40.3,1300,1,908623.49,6520777.64,Belley,2132.5
2201E1239799R,2022-06-07,E,B,appartement,1900,individuel,2.6,40,1200,1,914659.37,6560200.51,Valserhône,3550.3
2601E0005759T,2026-01-03,D,B,maison,1984,,2.5,130.3,1210,1,937201.35,6581018.87,Ornex,17043
2501E3580621K,2025-11-13,D,B,appartement,,individuel,2.5,31.4,1600,1,837739.93,6539390.16,Trévoux,2885.8
2501E2283254R,2025-07-10,E,E,appartement,1969,collectif,2.5,86.7,1200,1,917456.69,6561471.55,Valserhône,9978.3
2501E2107094H,2025-06-26,D,B,appartement,1990,individuel,2.5,27.8,1210,1,939709.92,6577451,Ferney-Voltaire,1399
2501E4021843M,2025-12-24,E,E,maison,,,2.5,201.3,1400,1,853248.17,6564380.21,Neuville-les-Dames,27664.4
2401E1268018C,2024-04-09,C,A,appartement,2008,individuel,2.5,69,1200,1,918095.12,6560172.23,Valserhône,1796.3
2301E0538475S,2023-02-18,D,D,appartement,1960,collectif,2.5,91.7,1120,1,859316.7,6529946.46,Montluel,6347.1
2501E3245040L,2025-10-14,E,C,appartement,,mixte (collectif-individuel),2.4,87.2,1200,1,917220.27,6560249.45,Valserhône,10638.8
2401E1700411P,2024-05-15,D,B,appartement,1900,individuel,2.5,40.9,1200,1,918409.52,6560520.3,Valserhône,3836.8
2201E1647949T,2022-07-15,C,C,appartement,2010,collectif,2.5,86.6,1210,1,940066.33,6577843.16,Ferney-Voltaire,4822.5
2201E0227361T,2022-02-03,C,B,appartement,2011,individuel,2.5,50.7,1700,1,849945.38,6525854.19,Neyron,2430
2201E2083544K,2022-09-13,D,D,appartement,,individuel,2.5,51,1000,1,872691.31,6568201.53,Bourg-en-Bresse,2104.1
2301E1243780V,2023-04-14,C,A,appartement,,individuel,2.3,25,1500,1,880995.54,6542162.95,Ambérieu-en-Bugey,3146.4
2401E0957714I,2024-03-15,C,C,appartement,,individuel,2.5,62,1000,1,871682.88,6570113.96,Bourg-en-Bresse,2396.7
2401E2687607R,2024-07-25,D,B,appartement,,individuel,2.5,54.1,1640,1,886327.75,6551686.05,Jujurieux,4750.1
2501E3003867O,2025-09-23,F,C,maison,,,2.6,100.1,1420,1,917831.73,6542055.96,Corbonod,21479
2601E0052393J,2026-01-08,C,C,appartement,,individuel,2.5,47.8,1630,1,930024.54,6569053.21,Challex,2884.2
2501E3832512N,2025-12-05,D,B,maison,,,2.5,56,1700,1,855795.2,6528376.21,Beynost,5117.4
2601E0045299N,2026-01-08,G,C,maison,,,2.5,116,1370,1,877213.65,6577041.43,Saint-Étienne-du-Bois,31858.4
2501E1989234F,2025-06-18,C,B,maison,1999,,2.5,88,1120,1,858006.4,6536839.37,Montluel,6310.7
2501E2478257U,2025-07-29,D,D,maison,2009,,2.5,108.7,1600,1,838139.88,6542377.98,Sainte-Euphémie,10106.7
2601E0053388Q,2026-01-08,C,B,maison,1988,,2.5,113,1710,1,928726.3,6575722.54,Thoiry,9117.1
2301E2001273E,2023-06-15,E,B,appartement,,individuel,2.5,43,1200,1,918280.13,6560231.19,Valserhône,4021.7
2501E3896350V,2025-12-12,D,B,maison,1997,,2.5,89,1320,1,870173.78,6550359.46,Châtenay,11016.1
2201E1136796A,2022-05-24,D,B,appartement,,individuel,2.6,68.3,1270,1,873892.22,6592537.2,Beaupont,4168.4
2401E2263466O,2024-06-24,E,D,maison,,,2.5,161.3,1340,1,857931.49,6579752.16,Saint-Didier-d'Aussiat,26121.8
2501E0663214L,2025-02-27,C,B,maison,,,2.4,56.5,1230,1,885711.69,6538645.72,Torcieu,3948.4
2601E0050511Z,2026-01-08,D,D,appartement,1982,individuel,2.5,76,1800,1,870188.97,6536445.33,Meximieux,6886.6
2601E0045862E,2026-01-08,E,B,immeuble,,individuel,2.5,,1500,1,882633.91,6548004.65,Ambronay,30056.4
2601E0049594S,2026-01-08,C,C,appartement,1982,individuel,2.5,55,1800,1,870188.97,6536445.33,Meximieux,2866.4
2301E2699437Q,2023-08-01,D,D,appartement,2014,collectif,2.5,99.2,1170,1,933511.27,6580062.18,Chevry,6911.8
2601E0027801N,2026-01-06,E,B,appartement,1983,individuel,2.5,63,1450,1,886070.07,6556916.1,Poncin,6525.6
2401E2488143Z,2024-07-09,C,C,appartement,,individuel,2.5,87.6,1600,1,838317.47,6539292.67,Trévoux,4307
2501E0928658V,2025-03-19,D,B,appartement,1900,individuel,2.5,116.2,1630,1,932755.7,6575923.14,Saint-Genis-Pouilly,9519.5
2301E1867370B,2023-06-06,D,B,appartement,,individuel,2.5,60,1170,1,936061.11,6584174.19,Cessy,4187.3
2401E2680902U,2024-07-24,C,B,maison,2003,,2.5,117,1240,1,870456.96,6554545.38,Dompierre-sur-Veyle,8468.3
2201E0971873V,2022-05-05,C,A,appartement,1996,individuel,2.5,32.9,1100,1,903289.38,6576443.47,Oyonnax,607.4
2201E0984542C,2022-05-06,E,E,appartement,1990,individuel,2.5,41.5,1210,1,939638.4,6578109.12,Ferney-Voltaire,7087.8
2501E3186895C,2025-10-08,D,B,appartement,1900,individuel,2.3,90,1130,1,902411.67,6563378.2,Nantua,7296.9
2501E3153172B,2025-10-06,G,F,appartement,1921,individuel,2.7,56.8,1600,1,837291.81,6539550.7,Trévoux,13919.2
2201E0514430W,2022-03-14,C,A,appartement,2004,individuel,2.4,79.8,1420,1,919341.24,6543320.16,Seyssel,1978.3
2501E0075431K,2025-01-09,C,C,appartement,,individuel,2.5,88.6,1600,1,837203.47,6539609.15,Trévoux,2755.2
2401E2418596C,2024-07-04,D,B,appartement,2009,individuel,2.5,44.1,1170,1,935160.59,6586682.48,Gex,2736.4
2601E0001255N,2026-01-02,E,C,maison,,,2.5,101,1240,1,864676,6557305.86,Saint-Paul-de-Varax,15954.8
2301E0142246D,2023-01-17,E,C,appartement,1989,individuel,2.5,35.6,1220,1,941456.82,6588437.46,Divonne-les-Bains,4292.4
2501E1315534R,2025-04-16,C,C,appartement,2020,collectif,2.5,68,1210,1,938725.92,6576876.7,Ferney-Voltaire,1521
2401E1696779X,2024-05-14,E,B,appartement,,individuel,2.7,48.7,1600,1,837421.87,6539470.2,Trévoux,5354.5
2501E2804094Z,2025-09-05,C,C,appartement,2016,individuel,2.5,52.2,1630,1,933300.08,6576996,Saint-Genis-Pouilly,2782.4
2101E0712554Z,2021-11-18,C,B,appartement,1947,individuel,2.6,59.6,1640,1,886266.59,6551793.62,Jujurieux,2764.5
2601E0060708E,2026-01-09,F,C,appartement,,mixte (collectif-individuel),2.5,35.9,1410,1,926095.66,6582146.75,Lélex,6578.4
2101E0565020P,2021-10-25,D,B,appartement,1989,individuel,2.5,52.3,1100,1,904411.67,6576821.34,Oyonnax,3694.6
2401E4136595Z,2024-11-22,C,C,maison,,,2.5,182.2,1380,1,849693.66,6581145.7,Bâgé-Dommartin,13966.1
2601E0049603B,2026-01-08,D,D,appartement,1982,individuel,2.5,79,1800,1,870188.97,6536445.33,Meximieux,3745.5
2401E1766937H,2024-05-21,C,C,appartement,,collectif,2.5,47.5,1170,1,935667.79,6586921.98,Gex,436.3
2501E3698030D,2025-11-25,C,C,appartement,2020,collectif,2.5,24.4,1210,1,938725.92,6576876.7,Ferney-Voltaire,566.7
2501E1880962X,2025-06-08,D,B,maison,,,2.6,92,1290,1,842452.41,6573749.42,Grièges,9991.2
2401E2308869V,2024-06-26,D,D,appartement,1921,individuel,2.5,110,1000,1,871242.56,6569979.57,Bourg-en-Bresse,7494.5
2201E0773687H,2022-04-07,E,E,appartement,1950,individuel,2.2,51,1600,1,834157.07,6539899.12,Saint-Bernard,6777.9
2501E2588640H,2025-08-09,E,B,immeuble,,individuel,2.5,,1700,1,854181.49,6527088.35,Saint-Maurice-de-Beynost,36483.4
2101E0878792T,2021-12-09,E,B,appartement,1988,individuel,2.4,38.3,1170,1,935528.39,6585739.63,Gex,3619.2
2401E4357122U,2024-12-09,C,A,appartement,2017,individuel,2.5,98.4,1600,1,841071.08,6538856.04,Reyrieux,6217.8
2401E1396534A,2024-04-18,C,C,appartement,,collectif,2.5,26.1,1170,1,935555.47,6586402.84,Gex,971.1
2501E2871117U,2025-09-11,E,E,maison,,,2.8,95.3,1600,1,838334.7,6538870.18,Trévoux,23158.9
2401E4151364A,2024-11-25,D,D,appartement,2013,collectif,2.7,102,1280,1,936554.83,6578604.68,Prévessin-Moëns,8158.7
2301E2553537C,2023-07-28,G,G,appartement,,collectif,2.5,72,1000,1,871006.18,6569363.45,Bourg-en-Bresse,16551.2
2201E1162821Z,2022-05-25,D,B,appartement,2009,individuel,2.5,45.3,1170,1,938155.81,6584884.25,Cessy,2521.7
2501E3664800B,2025-11-21,D,B,appartement,,individuel,2.2,21.9,1000,1,871119.21,6568657.51,Bourg-en-Bresse,3519.1
2301E1057174R,2023-03-28,D,B,appartement,1987,individuel,2.5,106.1,1210,1,939727.13,6578392.35,Ferney-Voltaire,10016.6
2301E1471972L,2023-05-03,C,C,appartement,2013,individuel,2.5,71.5,1170,1,934979.89,6586860.41,Gex,3331.3
2601E0003984M,2026-01-02,C,A,appartement,2015,collectif,2.5,74,1240,1,870495.68,6554822.86,Dompierre-sur-Veyle,2215.3
2601E0060331R,2026-01-09,D,B,maison,2011,,2.5,91.3,1700,1,848635.61,6531893.42,Miribel,6949.7
2501E3793486N,2025-12-03,E,C,appartement,1988,individuel,2.4,38.3,1170,1,935528.39,6585739.63,Gex,4924.3
2501E2788909Y,2025-09-03,C,C,appartement,2014,collectif,2.5,65.1,1210,1,938728.05,6577240.76,Ferney-Voltaire,1807.1
2501E3381357K,2025-10-27,C,C,appartement,2017,collectif,2.5,49.2,1630,1,933127.8,6575792.81,Saint-Genis-Pouilly,722.4
2201E0638049L,2022-03-29,E,B,appartement,1948,collectif,2.5,144,1630,1,930417.3,6577938.46,Sergy,23788.1
2501E2203631G,2025-07-03,C,A,appartement,2024,individuel,2.5,78,1350,1,915708.5,6530921.3,Culoz-Béon,3101.1
2301E4146176L,2023-12-04,F,C,appartement,,individuel,2.8,48.8,1600,1,837412.03,6539470.2,Trévoux,8117.3
2501E0844103S,2025-03-12,C,B,appartement,,individuel,3.1,60,1230,1,889544.1,6541989.06,Saint-Rambert-en-Bugey,4581.7
2401E0403656K,2024-02-05,F,C,appartement,,individuel,2.5,20.7,1350,1,915885.69,6531206.45,Culoz-Béon,3479.9
2301E2949829C,2023-09-06,E,B,appartement,,individuel,2.5,41.4,1280,1,935933.99,6580249.58,Prévessin-Moëns,3511.5
2201E2770914S,2022-11-22,C,C,appartement,,individuel,2.5,89,1630,1,932727.78,6575627.23,Saint-Genis-Pouilly,2708.5
